"city_dev","gender","expenience","university","edu_level","major","expenience_year","company_size","company_type","jobs","train_hours","target","train_hours_scale","expenience_year_new"
0.762,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"5000-9999","Pvt Ltd",">4",15,0,2.70805020110221,3
0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","3",28,0,3.3322045101752,3
0.479,"Male","No relevent experience","enrollment","Graduate","Other",3,"Other","Pvt Ltd","3",11,1,2.39789527279837,2
0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM",21,"10000+","Pvt Ltd","4",24,0,3.17805383034795,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7,"100-500","Pvt Ltd","4",39,0,3.66356164612965,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"100-500","Pvt Ltd","1",53,0,3.97029191355212,2
0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11,"50-99","Pvt Ltd","2",84,1,4.43081679884331,3
0.624,"Other","No relevent experience","no_enrollment","Graduate","STEM",4,"Other","Pvt Ltd","4",29,1,3.36729582998647,2
0.887,"Male","No relevent experience","no_enrollment","Phd","Other",21,"10000+","Other","1",14,0,2.63905732961526,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",5,"10000+","Pvt Ltd","1",28,0,3.3322045101752,3
0.624,"Male","No relevent experience","enrollment","High School","STEM",3,"Other","Pvt Ltd","never",75,0,4.31748811353631,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",14,"50-99","Pvt Ltd","1",30,0,3.40119738166216,3
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",13,"10000+","Pvt Ltd","4",154,0,5.03695260241363,3
0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"50-99","Pvt Ltd","4",85,0,4.44265125649032,3
0.884,"Male","No relevent experience","no_enrollment","Graduate","Other",21,"500-999","Pvt Ltd","2",54,0,3.98898404656427,3
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",5,"Other","Pvt Ltd","never",11,1,2.39789527279837,3
0.754,"Male","No relevent experience","enrollment","Graduate","STEM",6,"1000-4999","Pvt Ltd","3",8,0,2.07944154167984,3
0.903,"Male","Has relevent experience","no_enrollment","Graduate","Other",12,"50-99","Other","1",11,0,2.39789527279837,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",2,"100-500","Pvt Ltd","1",162,0,5.08759633523238,2
0.855,"Male","Has relevent experience","enrollment","Graduate","STEM",7,"50-99","Pvt Ltd","1",63,0,4.14313472639153,3
0.897,"Male","No relevent experience","enrollment","Graduate","STEM",2,"Other","Pvt Ltd","1",29,1,3.36729582998647,2
0.624,"Male","Has relevent experience","enrollment","Masters","STEM",4,"Other","Pvt Ltd","1",64,1,4.15888308335967,2
0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",11,"50-99","Pvt Ltd","2",8,0,2.07944154167984,3
0.624,"Male","No relevent experience","enrollment","High School","STEM",3,"Other","Pvt Ltd","never",280,1,5.63478960316925,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",6,"Other","Pvt Ltd","2",18,0,2.89037175789616,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",5,"Other","Pvt Ltd","1",32,1,3.46573590279973,3
0.624,"Male","Has relevent experience","enrollment","Masters","STEM",5,"Other","Pvt Ltd","1",69,0,4.23410650459726,3
0.92,"Male","No relevent experience","no_enrollment","Primary School","STEM",3,"50-99","Pvt Ltd","1",336,0,5.8171111599632,2
0.92,"Other","Has relevent experience","no_enrollment","Graduate","Other",3,"<10","Pvt Ltd","3",13,0,2.56494935746154,2
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",5,"Other","Pvt Ltd","1",41,0,3.71357206670431,3
0.924,"Male","No relevent experience","no_enrollment","High School","STEM",6,"Other","Pvt Ltd","never",20,0,2.99573227355399,3
0.887,"Male","Has relevent experience","enrollment","Graduate","STEM",7,"Other","Pvt Ltd","1",33,0,3.49650756146648,3
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM",14,"100-500","Pvt Ltd","4",60,0,4.0943445622221,3
0.802,"Male","Has relevent experience","no_enrollment","Graduate","Other",10,"<10","Pvt Ltd",">4",14,0,2.63905732961526,3
0.884,"Male","No relevent experience","enrollment","Masters","STEM",3,"<10","Other","never",22,0,3.09104245335832,2
0.698,"Male","Has relevent experience","enrollment","Graduate","STEM",19,"Other","Pvt Ltd",">4",24,0,3.17805383034795,3
0.91,"Male","Has relevent experience","enrollment","Graduate","STEM",14,"100-500","Pvt Ltd","2",40,0,3.68887945411394,3
0.666,"Male","No relevent experience","no_enrollment","Graduate","STEM",21,"50-99","Pvt Ltd","1",64,1,4.15888308335967,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",9,"10000+","Pvt Ltd","1",56,0,4.02535169073515,3
0.802,"Male","Has relevent experience","enrollment","Masters","STEM",16,"500-999","Pvt Ltd","4",46,0,3.8286413964891,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",6,"Other","Pvt Ltd","never",12,0,2.484906649788,3
0.887,"Male","No relevent experience","no_enrollment","Graduate","Other",15,"Other","Pvt Ltd",">4",12,0,2.484906649788,3
0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM",2,"50-99","Pvt Ltd","1",45,0,3.80666248977032,2
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",5,"<10","Other","2",144,1,4.969813299576,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"Other","Other",">4",50,1,3.91202300542815,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"50-99","Other","1",29,0,3.36729582998647,3
0.925,"Male","Has relevent experience","no_enrollment","Masters","Other",14,"500-999","Other","4",112,0,4.71849887129509,3
0.55,"Male","No relevent experience","no_enrollment","High School","STEM",7,"Other","Pvt Ltd","never",86,1,4.45434729625351,3
0.92,"Male","Has relevent experience","no_enrollment","Masters","Other",21,"10000+","Pvt Ltd","1",22,0,3.09104245335832,3
0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM",4,"50-99","Pvt Ltd","4",148,0,4.99721227376411,2
0.558,"Male","No relevent experience","no_enrollment","Graduate","STEM",1,"100-500","Pvt Ltd","1",92,0,4.52178857704904,2
0.836,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"100-500","Pvt Ltd","1",5,0,1.6094379124341,3
0.925,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"50-99","Other","1",112,0,4.71849887129509,3
0.91,"Other","Has relevent experience","no_enrollment","Graduate","STEM",9,"50-99","Pvt Ltd",">4",94,0,4.54329478227,3
0.827,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"100-500","Pvt Ltd","1",114,0,4.7361984483945,3
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Pvt Ltd",">4",17,0,2.83321334405622,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",4,"100-500","Other","4",11,0,2.39789527279837,2
0.924,"Male","No relevent experience","enrollment","Graduate","Other",5,"Other","Pvt Ltd","never",55,0,4.00733318523247,3
0.92,"Male","Has relevent experience","enrollment","Graduate","STEM",3,"10000+","Pvt Ltd","1",26,0,3.25809653802148,2
0.558,"Male","Has relevent experience","no_enrollment","High School","STEM",6,"<10","Pvt Ltd","1",30,0,3.40119738166216,3
0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",16,"1000-4999","Pvt Ltd","1",192,0,5.25749537202778,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",0,"Other","Pvt Ltd","never",30,0,3.40119738166216,1
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",12,"500-999","Pvt Ltd",">4",24,0,3.17805383034795,3
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",21,"Other","Pvt Ltd",">4",17,0,2.83321334405622,3
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"100-500","Pvt Ltd","1",28,0,3.3322045101752,3
0.754,"Male","Has relevent experience","enrollment","Masters","STEM",4,"50-99","Pvt Ltd","4",82,0,4.40671924726425,2
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"100-500","Other",">4",30,0,3.40119738166216,3
0.764,"Male","Has relevent experience","enrollment","Masters","STEM",3,"Other","Pvt Ltd","3",43,1,3.76120011569356,2
0.893,"Male","Has relevent experience","no_enrollment","Graduate","STEM",9,"100-500","Pvt Ltd",">4",70,0,4.24849524204936,3
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Pvt Ltd","1",50,0,3.91202300542815,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"500-999","Pvt Ltd","3",125,0,4.8283137373023,3
0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",7,"1000-4999","Pvt Ltd",">4",17,1,2.83321334405622,3
0.925,"Male","Has relevent experience","no_enrollment","Primary School","STEM",7,"<10","Pvt Ltd","1",34,0,3.52636052461616,3
0.899,"Male","Has relevent experience","enrollment","Graduate","STEM",21,"100-500","Pvt Ltd","2",83,1,4.4188406077966,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"100-500","Other","2",6,0,1.79175946922805,3
0.789,"Male","No relevent experience","enrollment","Graduate","STEM",1,"10000+","Pvt Ltd","1",3,0,1.09861228866811,2
0.899,"Male","Has relevent experience","no_enrollment","Graduate","Other",15,"<10","Pvt Ltd",">4",45,0,3.80666248977032,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",19,"Other","Pvt Ltd","1",46,1,3.8286413964891,3
0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM",2,"1000-4999","Pvt Ltd","1",17,0,2.83321334405622,2
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"Other","Pvt Ltd","3",77,1,4.34380542185368,3
0.92,"Male","Has relevent experience","no_enrollment","High School","STEM",21,"<10","Pvt Ltd","3",67,0,4.20469261939097,3
0.698,"Male","No relevent experience","no_enrollment","Graduate","STEM",4,"100-500","Other","1",25,0,3.2188758248682,2
0.802,"Other","Has relevent experience","enrollment","Graduate","STEM",11,"1000-4999","Pvt Ltd","1",174,0,5.15905529921453,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",0,"Other","Pvt Ltd","never",308,1,5.73009978297357,1
0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"<10","Pvt Ltd","3",9,1,2.19722457733622,3
0.92,"Male","No relevent experience","enrollment","Graduate","STEM",2,"Other","Pvt Ltd","never",42,1,3.73766961828337,2
0.624,"Male","No relevent experience","enrollment","High School","STEM",2,"Other","Pvt Ltd","never",100,1,4.60517018598809,2
0.698,"Male","No relevent experience","enrollment","Graduate","STEM",2,"<10","Pvt Ltd","1",98,1,4.58496747867057,2
0.766,"Male","No relevent experience","enrollment","Graduate","STEM",4,"Other","Pvt Ltd","2",168,1,5.12396397940326,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",14,"<10","Pvt Ltd","1",90,0,4.49980967033027,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"10000+","Pvt Ltd",">4",143,0,4.96284463025991,3
0.926,"Male","No relevent experience","enrollment","High School","STEM",3,"Other","Pvt Ltd","never",74,0,4.30406509320417,2
0.698,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Pvt Ltd","1",89,0,4.48863636973214,3
0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM",19,"Other","Pvt Ltd","1",64,1,4.15888308335967,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"10000+","Pvt Ltd","1",16,0,2.77258872223978,3
0.558,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"<10","Other","never",61,1,4.11087386417331,2
0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM",8,"50-99","Pvt Ltd","1",27,0,3.29583686600433,3
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM",0,"1000-4999","Pvt Ltd","1",33,0,3.49650756146648,1
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",11,"50-99","Pvt Ltd","1",31,1,3.43398720448515,3
0.887,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"1000-4999","Pvt Ltd","3",107,1,4.67282883446191,3
0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"50-99","Pvt Ltd",">4",134,0,4.89783979995091,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"1000-4999","Pvt Ltd","1",84,0,4.43081679884331,3
0.745,"Male","No relevent experience","enrollment","Graduate","STEM",3,"Other","Pvt Ltd","never",91,0,4.51085950651685,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"Other","Pvt Ltd","1",112,1,4.71849887129509,3
0.727,"Male","No relevent experience","enrollment","Graduate","STEM",4,"Other","Pvt Ltd","1",44,1,3.78418963391826,2
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Other",">4",59,0,4.07753744390572,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"Other","Pvt Ltd","2",161,0,5.08140436498446,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",21,"10000+","Pvt Ltd","4",72,0,4.27666611901606,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",4,"50-99","Pvt Ltd","1",39,0,3.66356164612965,2
0.866,"Male","No relevent experience","no_enrollment","Masters","STEM",5,"500-999","Other","1",103,1,4.63472898822964,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",2,"Other","Other","never",39,0,3.66356164612965,2
0.92,"Other","Has relevent experience","no_enrollment","Graduate","Other",21,"50-99","Other","1",84,0,4.43081679884331,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",4,"100-500","Pvt Ltd","1",27,0,3.29583686600433,2
0.766,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"1000-4999","Pvt Ltd","2",33,0,3.49650756146648,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"100-500","Pvt Ltd","1",28,0,3.3322045101752,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"1000-4999","Other",">4",33,0,3.49650756146648,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","1",92,0,4.52178857704904,3
0.897,"Male","No relevent experience","enrollment","Graduate","STEM",6,"Other","Pvt Ltd","1",17,1,2.83321334405622,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"100-500","Pvt Ltd","1",51,0,3.93182563272433,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",4,"Other","Pvt Ltd","1",35,1,3.55534806148941,2
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",3,"Other","Pvt Ltd","never",28,0,3.3322045101752,2
0.926,"Other","No relevent experience","no_enrollment","High School","STEM",2,"Other","Pvt Ltd","2",23,0,3.13549421592915,2
0.926,"Male","Has relevent experience","enrollment","Graduate","STEM",19,"10000+","Pvt Ltd",">4",41,0,3.71357206670431,3
0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM",18,"<10","Pvt Ltd","1",21,0,3.04452243772342,3
0.624,"Male","Has relevent experience","enrollment","Masters","STEM",4,"50-99","Pvt Ltd","1",35,1,3.55534806148941,2
0.767,"Male","No relevent experience","no_enrollment","Graduate","STEM",10,"Other","Pvt Ltd","never",52,0,3.95124371858143,3
0.92,"Male","Has relevent experience","enrollment","Graduate","STEM",19,"1000-4999","Pvt Ltd","1",68,0,4.21950770517611,3
0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","1",228,1,5.42934562895444,3
0.91,"Male","No relevent experience","enrollment","Masters","STEM",4,"Other","Pvt Ltd","1",50,0,3.91202300542815,2
0.92,"Other","Has relevent experience","no_enrollment","Masters","STEM",11,"500-999","Pvt Ltd","3",122,0,4.80402104473326,3
0.92,"Other","No relevent experience","enrollment","Masters","STEM",11,"Other","Pvt Ltd","1",58,0,4.06044301054642,3
0.92,"Other","No relevent experience","no_enrollment","Graduate","STEM",4,"Other","Pvt Ltd","1",176,0,5.17048399503815,2
0.855,"Male","Has relevent experience","enrollment","Graduate","STEM",9,"<10","Other","1",3,0,1.09861228866811,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"50-99","Pvt Ltd","3",147,0,4.99043258677874,3
0.92,"Male","No relevent experience","enrollment","Graduate","STEM",4,"Other","Pvt Ltd","2",39,1,3.66356164612965,2
0.624,"Male","Has relevent experience","enrollment","Graduate","Other",21,"50-99","Pvt Ltd",">4",47,0,3.85014760171006,3
0.762,"Male","No relevent experience","enrollment","Graduate","STEM",5,"Other","Pvt Ltd","3",49,0,3.89182029811063,3
0.895,"Male","Has relevent experience","enrollment","Masters","STEM",4,"50-99","Other","2",13,1,2.56494935746154,2
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"10000+","Pvt Ltd","never",298,1,5.6970934865054,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",8,"500-999","Pvt Ltd","1",37,0,3.61091791264422,3
0.897,"Male","No relevent experience","enrollment","Graduate","STEM",5,"Other","Pvt Ltd","never",40,0,3.68887945411394,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",21,"10000+","Pvt Ltd",">4",86,0,4.45434729625351,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","Other",7,"Other","Pvt Ltd",">4",36,1,3.58351893845611,3
0.92,"Other","Has relevent experience","no_enrollment","Phd","STEM",13,"5000-9999","Pvt Ltd","1",11,0,2.39789527279837,3
0.698,"Male","Has relevent experience","enrollment","High School","STEM",3,"50-99","Other","2",53,0,3.97029191355212,2
0.794,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","1",84,0,4.43081679884331,3
0.754,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"<10","Pvt Ltd","1",15,0,2.70805020110221,2
0.527,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"Other","Pvt Ltd","1",104,0,4.64439089914137,2
0.949,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"10/49","Pvt Ltd",">4",19,0,2.94443897916644,3
0.698,"Male","No relevent experience","no_enrollment","High School","STEM",3,"Other","Pvt Ltd","never",96,0,4.56434819146784,2
0.899,"Male","Has relevent experience","no_enrollment","Graduate","Other",8,"Other","Pvt Ltd",">4",54,0,3.98898404656427,3
0.827,"Male","Has relevent experience","enrollment","High School","STEM",3,"100-500","Other",">4",116,0,4.75359019110636,2
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",7,"<10","Other","1",4,0,1.38629436111989,3
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Pvt Ltd",">4",96,0,4.56434819146784,3
0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"Other","Pvt Ltd","1",67,0,4.20469261939097,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",17,"10000+","Pvt Ltd","4",59,0,4.07753744390572,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"Other","Pvt Ltd","2",214,0,5.36597601502185,2
0.84,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"<10","Pvt Ltd","never",63,0,4.14313472639153,2
0.92,"Male","Has relevent experience","enrollment","Graduate","STEM",2,"<10","Pvt Ltd","1",33,0,3.49650756146648,2
0.92,"Male","No relevent experience","enrollment","Masters","STEM",9,"Other","Pvt Ltd",">4",55,1,4.00733318523247,3
0.939,"Other","No relevent experience","enrollment","High School","STEM",3,"100-500","Pvt Ltd","3",17,0,2.83321334405622,2
0.698,"Male","No relevent experience","no_enrollment","Primary School","STEM",1,"Other","Pvt Ltd","never",34,0,3.52636052461616,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"100-500","Pvt Ltd","1",101,0,4.61512051684126,3
0.92,"Male","Has relevent experience","enrollment","Graduate","STEM",21,"<10","Other",">4",50,0,3.91202300542815,3
0.691,"Male","Has relevent experience","enrollment","Graduate","STEM",9,"500-999","Pvt Ltd","2",96,0,4.56434819146784,3
0.926,"Male","Has relevent experience","enrollment","Graduate","STEM",11,"Other","Pvt Ltd","4",61,1,4.11087386417331,3
0.926,"Male","No relevent experience","enrollment","Graduate","STEM",6,"50-99","Other","1",51,1,3.93182563272433,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11,"1000-4999","Pvt Ltd","1",26,0,3.25809653802148,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",4,"Other","Pvt Ltd","never",22,1,3.09104245335832,2
0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM",16,"1000-4999","Pvt Ltd","1",14,0,2.63905732961526,3
0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"500-999","Pvt Ltd","2",18,0,2.89037175789616,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",0,"10000+","Pvt Ltd","1",38,1,3.63758615972639,1
0.804,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"500-999","Pvt Ltd","1",99,0,4.59511985013459,3
0.939,"Male","No relevent experience","enrollment","High School","STEM",4,"100-500","Pvt Ltd","never",7,0,1.94591014905531,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",15,"Other","Pvt Ltd","1",154,0,5.03695260241363,3
0.836,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","1",8,0,2.07944154167984,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"10/49","Other","1",7,1,1.94591014905531,2
0.624,"Male","No relevent experience","no_enrollment","Primary School","STEM",4,"Other","Pvt Ltd","never",6,1,1.79175946922805,2
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","1",242,0,5.48893772615669,3
0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM",9,"10000+","Pvt Ltd","1",109,0,4.69134788222914,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","1",50,1,3.91202300542815,3
0.624,"Male","No relevent experience","enrollment","Graduate","STEM",3,"Other","Pvt Ltd","never",106,1,4.66343909411207,2
0.924,"Male","Has relevent experience","enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","1",9,0,2.19722457733622,3
0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM",5,"100-500","Pvt Ltd","1",48,0,3.87120101090789,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",21,"Other","Pvt Ltd","2",22,0,3.09104245335832,3
0.767,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"10/49","Other","1",22,0,3.09104245335832,2
0.789,"Other","No relevent experience","no_enrollment","Graduate","STEM",0,"Other","Pvt Ltd","1",43,1,3.76120011569356,1
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",17,"50-99","Pvt Ltd","1",23,0,3.13549421592915,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"5000-9999","Pvt Ltd","2",92,0,4.52178857704904,3
0.754,"Other","Has relevent experience","enrollment","Graduate","STEM",8,"Other","Pvt Ltd","3",57,1,4.04305126783455,3
0.92,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"50-99","Pvt Ltd","1",163,1,5.09375020080676,2
0.926,"Male","No relevent experience","no_enrollment","High School","STEM",5,"Other","Pvt Ltd","never",48,0,3.87120101090789,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",14,"10000+","Pvt Ltd","1",78,1,4.35670882668959,3
0.893,"Other","Has relevent experience","no_enrollment","Graduate","STEM",7,"50-99","Pvt Ltd","2",11,0,2.39789527279837,3
0.913,"Male","Has relevent experience","no_enrollment","High School","STEM",21,"1000-4999","Pvt Ltd","3",46,0,3.8286413964891,3
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"Other","Pvt Ltd",">4",91,0,4.51085950651685,3
